lat,lng
-27.360874,152.963534
-27.360862,152.963514
-27.36084,152.963488
-27.360819,152.963457
-27.360795,152.963429
-27.360768,152.963399
-27.360747,152.96337
-27.360727,152.963344
-27.3607,152.963319
-27.360654,152.963271
-27.360632,152.963252
-27.36061,152.963236
-27.360539,152.963173
-27.360517,152.963151
-27.360471,152.963117
-27.360448,152.963102
-27.360424,152.963083
-27.360349,152.963009
-27.360295,152.962965
-27.360172,152.962856
-27.360143,152.962837
-27.360013,152.962718
-27.359879,152.962635
-27.359707,152.962531
-27.35968,152.962512
-27.35961,152.962457
-27.359561,152.962418
-27.359535,152.962402
-27.359425,152.962334
-27.359368,152.962295
-27.359222,152.962219
-27.359115,152.962077
-27.358968,152.961985
-27.358862,152.962
-27.358791,152.962017
-27.358601,152.962095
-27.358568,152.962107
-27.358382,152.962217
-27.358206,152.962348
-27.358181,152.96237
-27.358154,152.962394
-27.358037,152.962502
-27.357885,152.962651
-27.357821,152.962739
-27.357774,152.962787
-27.357618,152.962922
-27.357468,152.963068
-27.357443,152.963091
-27.357299,152.963229
-27.357276,152.963253
-27.357224,152.963302
-27.357127,152.963407
-27.357018,152.963457
-27.356921,152.96338
-27.356893,152.963329
-27.356802,152.963207
-27.35671,152.963068
-27.356692,152.963037
-27.356616,152.96289
-27.356587,152.962829
-27.356533,152.962696
-27.356501,152.962595
-27.356421,152.962404
-27.356333,152.962214
-27.356301,152.962149
-27.35621,152.961954
-27.356113,152.961769
-27.356098,152.961739
-27.355996,152.961574
-27.355982,152.961543
-27.355926,152.961381
-27.355938,152.961233
-27.356017,152.961133
-27.356203,152.961041
-27.356381,152.961029
-27.356557,152.961056
-27.356763,152.961059
-27.356909,152.961049
-27.357085,152.960988
-27.357144,152.960961
-27.357322,152.960867
-27.357404,152.960819
-27.357568,152.960715
-27.357643,152.960652
-27.357688,152.960604
-27.357796,152.960478
-27.357842,152.96043
-27.357995,152.960311
-27.358136,152.960165
-27.358291,152.960042
-27.358412,152.959921
-27.358436,152.959896
-27.358561,152.959729
-27.358586,152.959706
-27.35876,152.959593
-27.358954,152.959546
-27.358984,152.959536
-27.359145,152.959432
-27.359256,152.959244
-27.359385,152.959094
-27.359489,152.959086
-27.359552,152.959084
-27.359667,152.959077
-27.359699,152.959073
-27.359887,152.959039
-27.360065,152.958989
-27.360092,152.958983
-27.360275,152.958896
-27.360451,152.958797
-27.360481,152.958782
-27.360591,152.958785
-27.360671,152.958887
-27.360795,152.95906
-27.360816,152.959086
-27.360918,152.959215
-27.360914,152.959375
-27.360882,152.959504
-27.360827,152.959699
-27.360821,152.959736
-27.360855,152.959914
-27.360967,152.959995
-27.361151,152.960082
-27.361179,152.960103
-27.361312,152.9602
-27.361456,152.960293
-27.361651,152.960328
-27.36179,152.960306
-27.361851,152.960298
-27.362019,152.960227
-27.362177,152.960122
-27.362289,152.960039
-27.362341,152.959996
-27.362508,152.959885
-27.362534,152.959867
-27.362707,152.959758
-27.362859,152.959633
-27.363003,152.959494
-27.363029,152.959474
-27.363079,152.959429
-27.363215,152.959323
-27.363385,152.959226
-27.363414,152.959215
-27.363575,152.959166
-27.363713,152.959116
-27.363865,152.959098
-27.363969,152.959104
-27.364045,152.959115
-27.364222,152.959171
-27.364249,152.959181
-27.364367,152.959254
-27.364506,152.95935
-27.364641,152.959449
-27.364666,152.959462
-27.364736,152.959513
-27.364774,152.959557
-27.364864,152.959624
-27.364912,152.959657
-27.365017,152.959747
-27.365054,152.959784
-27.365107,152.959841
-27.365171,152.959967
-27.365267,152.960123
-27.365296,152.960178
-27.365347,152.960299
-27.365392,152.960426
-27.365413,152.96056
-27.365441,152.960731
-27.365448,152.960761
-27.365478,152.960955
-27.365498,152.961085
-27.365506,152.96116
-27.365543,152.961366
-27.365574,152.961533
-27.365592,152.961675
-27.365608,152.961786
-27.365629,152.961892
-27.365653,152.962071
-27.365688,152.962293
-27.365699,152.962367
-27.365735,152.962576
-27.365693,152.962734
-27.365546,152.962815
-27.365368,152.962855
-27.365186,152.962889
-27.365122,152.962907
-27.364939,152.962958
-27.364879,152.962981
-27.364703,152.963056
-27.364675,152.96307
-27.364509,152.963168
-27.36436,152.963301
-27.364231,152.963458
-27.364212,152.96349
-27.364083,152.963651
-27.364058,152.963674
-27.363919,152.963801
-27.363801,152.963915
